               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10881,            0.028836,            0.081207,                   0,                   0,                   0,                   0,             0.10499,            0.015036,            0.078116,            0.070882,           0.0032353,           0.0032353
                   1,             0.10261,            0.029944,            0.080021,                   0,                   0,                   0,                   0,             0.10207,            0.014918,            0.078015,            0.040869,           0.0065556,           0.0065556
                   2,            0.094388,            0.032606,            0.078658,                   0,                   0,                   0,                   0,            0.097904,            0.013671,            0.077789,            0.010843,           0.0098627,           0.0098627
                   3,            0.082698,            0.035101,            0.076234,             0.55239,            0.072825,           0.0052953,           0.0011962,                 nan,                 nan,              2.1053,           0.0099406,           0.0099406,           0.0099406
                   4,            0.070228,            0.035252,            0.067271,          8.9893e-06,           0.0016835,           4.721e-06,          1.1796e-06,              0.1112,            0.029582,              1.5798,           0.0099406,           0.0099406,           0.0099406
                   5,            0.063524,            0.033627,            0.056294,             0.68644,            0.018318,           0.0052888,           0.0013918,            0.089549,            0.024449,             0.31102,           0.0099208,           0.0099208,           0.0099208
                   6,            0.059695,            0.031843,            0.047157,             0.39872,             0.19424,             0.09708,             0.03655,            0.065248,            0.019597,            0.045528,            0.009901,            0.009901,            0.009901
                   7,            0.056677,            0.030634,            0.041576,             0.35469,             0.25758,             0.16249,            0.068186,            0.057987,            0.015579,            0.035254,           0.0098812,           0.0098812,           0.0098812
                   8,            0.054294,            0.029574,            0.038033,             0.48519,             0.31137,             0.23504,             0.10395,            0.051867,            0.016262,            0.033735,           0.0098614,           0.0098614,           0.0098614
                   9,             0.05246,            0.028769,            0.035989,             0.41096,             0.38187,             0.32842,             0.15233,            0.048431,            0.013574,            0.028603,           0.0098416,           0.0098416,           0.0098416
                  10,            0.050851,            0.028318,            0.033165,             0.36507,              0.3786,             0.31706,             0.16564,            0.044887,            0.013068,            0.028614,           0.0098218,           0.0098218,           0.0098218
                  11,            0.050241,            0.028263,            0.031154,             0.45563,             0.41259,             0.40343,             0.20053,            0.046483,            0.012927,            0.022419,            0.009802,            0.009802,            0.009802
                  12,            0.048708,            0.026973,            0.029768,             0.56223,             0.44041,             0.43984,             0.24193,            0.046271,            0.012329,            0.024481,           0.0097822,           0.0097822,           0.0097822
                  13,            0.047923,            0.026919,            0.028168,             0.43593,             0.46617,             0.39883,             0.20074,            0.046283,            0.012536,            0.024369,           0.0097624,           0.0097624,           0.0097624
                  14,            0.046522,            0.026737,            0.026416,             0.58623,              0.4957,             0.49394,             0.25034,            0.044379,            0.011479,            0.022246,           0.0097426,           0.0097426,           0.0097426
                  15,            0.046267,            0.026317,            0.025877,             0.54398,              0.4497,             0.46297,             0.24913,            0.041852,            0.011954,            0.019318,           0.0097228,           0.0097228,           0.0097228
                  16,            0.045209,            0.025453,             0.02448,             0.53968,              0.5053,              0.4875,             0.27157,            0.042642,              0.0121,            0.023944,            0.009703,            0.009703,            0.009703
                  17,            0.044536,            0.025901,            0.023774,             0.41802,             0.41197,             0.36918,             0.18983,            0.042521,            0.012022,            0.029095,           0.0096832,           0.0096832,           0.0096832
                  18,            0.044409,            0.025684,            0.022201,             0.69124,             0.52901,             0.59374,             0.33718,            0.040203,            0.010522,            0.019103,           0.0096634,           0.0096634,           0.0096634
                  19,            0.043585,             0.02466,             0.02106,             0.55664,             0.51584,             0.52737,             0.27267,             0.03958,            0.011111,             0.01805,           0.0096436,           0.0096436,           0.0096436
                  20,            0.043342,            0.025389,            0.020436,             0.62973,             0.52858,             0.56212,             0.30617,            0.038911,            0.010327,            0.015254,           0.0096238,           0.0096238,           0.0096238
                  21,            0.042676,            0.024645,            0.019833,             0.61186,             0.55293,             0.57794,             0.32203,            0.037558,            0.010383,            0.018322,            0.009604,            0.009604,            0.009604
                  22,            0.042236,            0.024915,            0.019417,             0.55416,             0.51536,             0.55846,             0.31803,            0.039457,            0.010358,            0.016593,           0.0095842,           0.0095842,           0.0095842
                  23,            0.041952,             0.02451,            0.018971,              0.6014,             0.54583,             0.55686,             0.30977,            0.037454,            0.010531,            0.014647,           0.0095644,           0.0095644,           0.0095644
                  24,            0.041359,             0.02429,            0.018586,             0.67535,             0.56478,             0.60476,             0.31316,            0.038542,            0.010323,            0.015578,           0.0095446,           0.0095446,           0.0095446
                  25,            0.040803,            0.023983,            0.018294,             0.58139,             0.61332,             0.62364,             0.35449,            0.037698,           0.0095604,            0.014479,           0.0095248,           0.0095248,           0.0095248
                  26,            0.040849,            0.024313,            0.017417,             0.74575,             0.51931,             0.61549,             0.36232,            0.036058,           0.0097704,            0.018314,            0.009505,            0.009505,            0.009505
                  27,            0.040257,            0.023905,            0.017015,             0.66894,             0.57532,             0.60564,             0.34699,            0.036758,            0.010068,            0.014551,           0.0094852,           0.0094852,           0.0094852
                  28,            0.040021,            0.023472,            0.016618,             0.61854,             0.60796,             0.64606,             0.36481,            0.036162,           0.0097919,            0.014486,           0.0094654,           0.0094654,           0.0094654
                  29,            0.039811,            0.023845,            0.015776,             0.61003,             0.60894,             0.64642,             0.39669,            0.034149,           0.0094423,            0.014092,           0.0094456,           0.0094456,           0.0094456
                  30,            0.039405,            0.023046,            0.015359,             0.57405,              0.6246,             0.60805,             0.37478,            0.035463,           0.0095833,            0.016324,           0.0094258,           0.0094258,           0.0094258
                  31,            0.039262,            0.022888,            0.015468,             0.71619,             0.61618,             0.68235,             0.40087,            0.036915,           0.0094162,            0.014557,            0.009406,            0.009406,            0.009406
                  32,            0.038596,            0.022913,            0.014819,             0.78134,             0.58179,              0.6859,              0.3852,            0.035868,           0.0092603,             0.01206,           0.0093862,           0.0093862,           0.0093862
                  33,            0.038448,              0.0232,            0.014538,              0.6056,             0.64918,             0.67227,             0.39165,            0.035958,           0.0091061,            0.012255,           0.0093664,           0.0093664,           0.0093664
                  34,            0.038533,            0.022882,            0.014913,              0.6254,             0.61879,             0.65228,             0.39054,            0.035177,              0.0094,            0.015256,           0.0093466,           0.0093466,           0.0093466
                  35,            0.038324,            0.022919,             0.01446,             0.65537,             0.64323,             0.67689,             0.42035,            0.034407,           0.0091484,            0.011732,           0.0093268,           0.0093268,           0.0093268
                  36,            0.038101,            0.022291,            0.013888,             0.73649,             0.66625,             0.72387,             0.42617,             0.03462,           0.0091341,            0.012459,            0.009307,            0.009307,            0.009307
                  37,            0.037892,            0.022957,            0.014154,             0.64377,             0.65439,             0.68282,             0.41271,            0.034168,           0.0090311,            0.013681,           0.0092872,           0.0092872,           0.0092872
                  38,            0.037857,            0.022182,            0.014076,             0.72955,             0.63404,             0.70459,             0.43198,            0.033291,           0.0091844,            0.013948,           0.0092674,           0.0092674,           0.0092674
                  39,            0.037089,            0.022314,             0.01336,             0.66853,             0.63278,             0.67788,             0.41733,            0.033106,           0.0091412,            0.017774,           0.0092476,           0.0092476,           0.0092476
                  40,            0.037379,            0.022103,            0.013499,             0.67764,             0.61897,             0.66269,             0.40697,            0.033675,           0.0088481,            0.012882,           0.0092278,           0.0092278,           0.0092278
                  41,            0.036887,            0.022179,            0.012877,             0.71083,             0.67498,             0.72033,             0.45187,            0.032298,           0.0088673,            0.011653,            0.009208,            0.009208,            0.009208
                  42,            0.036256,            0.022282,            0.012801,             0.67312,              0.6845,             0.69122,             0.43709,            0.033172,           0.0090916,            0.011227,           0.0091882,           0.0091882,           0.0091882
                  43,            0.036694,            0.022465,            0.012732,             0.70494,             0.65031,             0.70445,             0.44213,            0.032948,           0.0093184,            0.012432,           0.0091684,           0.0091684,           0.0091684
                  44,            0.036263,            0.022032,            0.012659,             0.69929,             0.65253,             0.70026,             0.44595,            0.032979,           0.0088458,              0.0111,           0.0091486,           0.0091486,           0.0091486
                  45,            0.036027,            0.021866,            0.011894,             0.73066,             0.71665,             0.73902,             0.45805,            0.032138,           0.0086517,           0.0086735,           0.0091288,           0.0091288,           0.0091288
                  46,            0.035379,            0.021384,            0.012531,             0.68844,             0.66389,              0.7101,             0.45511,             0.03273,           0.0089226,             0.01001,            0.009109,            0.009109,            0.009109
                  47,            0.035674,            0.021907,            0.012029,             0.73051,             0.67823,             0.72992,             0.46012,            0.032574,           0.0088722,            0.010469,           0.0090892,           0.0090892,           0.0090892
                  48,            0.035172,            0.021796,            0.011588,             0.60573,             0.65133,              0.6638,             0.38379,            0.035082,           0.0094786,             0.01228,           0.0090694,           0.0090694,           0.0090694
                  49,            0.035384,            0.021853,              0.0116,             0.70504,             0.70213,             0.74554,             0.46779,            0.031696,           0.0086302,            0.011436,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03544,            0.021434,            0.010715,             0.69762,             0.65831,             0.70947,             0.46614,            0.032471,           0.0088251,           0.0086556,           0.0090298,           0.0090298,           0.0090298
                  51,            0.035342,            0.021332,            0.011246,             0.72426,             0.67629,             0.73026,             0.47847,            0.030408,           0.0088303,           0.0074582,             0.00901,             0.00901,             0.00901
                  52,             0.03489,            0.021785,            0.010748,             0.73016,             0.68358,             0.74126,             0.45677,            0.031502,           0.0089999,            0.010853,           0.0089902,           0.0089902,           0.0089902
                  53,            0.035047,            0.021246,            0.010284,             0.72231,             0.67819,             0.73151,             0.48115,            0.031055,           0.0087106,           0.0095534,           0.0089704,           0.0089704,           0.0089704
                  54,            0.034638,            0.021216,            0.010319,              0.7519,             0.72496,             0.76808,             0.47832,            0.033294,           0.0086636,           0.0088927,           0.0089506,           0.0089506,           0.0089506
                  55,            0.034616,            0.021559,            0.010244,             0.72451,             0.73668,             0.75753,             0.48404,            0.031116,           0.0085625,            0.010841,           0.0089308,           0.0089308,           0.0089308
                  56,            0.034124,            0.021118,           0.0098215,             0.75943,             0.70363,             0.73736,             0.48665,            0.030839,           0.0086757,            0.011098,            0.008911,            0.008911,            0.008911
                  57,            0.034217,            0.021234,            0.010193,             0.76159,             0.64871,             0.73778,             0.47021,            0.031566,           0.0086961,            0.016237,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034352,            0.021377,            0.010857,              0.7118,             0.64893,              0.7029,             0.45877,             0.03168,           0.0086363,            0.012427,           0.0088714,           0.0088714,           0.0088714
                  59,            0.033752,            0.021464,           0.0097774,             0.66923,             0.71764,              0.7318,             0.47033,            0.031019,           0.0085899,           0.0098885,           0.0088516,           0.0088516,           0.0088516
                  60,            0.033482,             0.02121,           0.0099005,             0.76747,             0.71626,             0.75678,             0.49037,            0.031295,           0.0085359,            0.007203,           0.0088318,           0.0088318,           0.0088318
                  61,            0.033649,             0.02108,            0.010109,             0.71618,             0.72332,             0.73769,             0.46872,            0.030987,           0.0086621,           0.0099529,            0.008812,            0.008812,            0.008812
                  62,             0.03339,            0.020677,           0.0093781,             0.76734,             0.66972,             0.73647,             0.49452,            0.029915,           0.0087402,             0.01113,           0.0087922,           0.0087922,           0.0087922
                  63,            0.033435,            0.021089,           0.0093238,             0.75288,             0.71114,                0.76,             0.48705,            0.031617,           0.0086093,           0.0090044,           0.0087724,           0.0087724,           0.0087724
                  64,            0.033511,            0.020902,           0.0088928,             0.76003,             0.70181,             0.74697,             0.48593,            0.030616,           0.0085146,            0.009118,           0.0087526,           0.0087526,           0.0087526
                  65,            0.033169,            0.020729,           0.0090218,             0.70877,             0.70123,             0.72401,             0.45708,            0.031734,           0.0088036,           0.0098383,           0.0087328,           0.0087328,           0.0087328
                  66,             0.03318,            0.020662,           0.0090579,             0.75434,             0.72024,             0.74827,             0.49578,            0.030211,            0.008389,           0.0093388,            0.008713,            0.008713,            0.008713
                  67,            0.032773,             0.02056,           0.0098302,             0.67711,             0.69184,             0.71907,             0.46437,            0.030898,           0.0084793,            0.010224,           0.0086932,           0.0086932,           0.0086932
                  68,            0.032464,            0.021094,           0.0091532,             0.71438,             0.69551,             0.73085,             0.48567,            0.030083,           0.0084624,            0.009513,           0.0086734,           0.0086734,           0.0086734
                  69,            0.032758,            0.020227,           0.0087218,             0.72593,             0.70875,             0.71839,             0.46964,            0.030107,           0.0089839,            0.009663,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032336,            0.020275,           0.0086438,             0.75009,              0.7106,             0.75041,             0.50563,            0.029866,           0.0083159,           0.0087556,           0.0086338,           0.0086338,           0.0086338
                  71,            0.032586,            0.020968,           0.0080969,             0.74943,             0.71783,             0.76447,              0.5086,            0.029566,           0.0084641,           0.0068062,            0.008614,            0.008614,            0.008614
                  72,             0.03257,            0.020182,           0.0093287,             0.75942,              0.7188,             0.75594,             0.48979,            0.031549,           0.0086545,            0.011325,           0.0085942,           0.0085942,           0.0085942
                  73,            0.032594,            0.020537,           0.0093553,             0.75158,             0.72799,             0.75502,              0.4962,            0.030346,           0.0084914,            0.008054,           0.0085744,           0.0085744,           0.0085744
                  74,            0.031958,            0.020019,           0.0089398,             0.82605,             0.67571,             0.75417,             0.50146,            0.028981,           0.0084705,           0.0097414,           0.0085546,           0.0085546,           0.0085546
                  75,            0.032582,            0.020431,           0.0090161,              0.7706,             0.68341,             0.75787,             0.51621,            0.029074,           0.0086699,           0.0078578,           0.0085348,           0.0085348,           0.0085348
                  76,            0.031873,            0.020076,           0.0092352,             0.79163,             0.68654,             0.75722,             0.50195,            0.030339,            0.008502,           0.0088269,            0.008515,            0.008515,            0.008515
                  77,            0.032495,            0.020257,           0.0084274,             0.75186,             0.70784,             0.74745,             0.49519,            0.029343,           0.0083026,           0.0098622,           0.0084952,           0.0084952,           0.0084952
                  78,            0.032388,            0.019799,           0.0083552,             0.75552,             0.69788,             0.75801,             0.52308,             0.02999,           0.0085298,           0.0089489,           0.0084754,           0.0084754,           0.0084754
                  79,            0.031771,            0.020303,           0.0080422,             0.73303,             0.71425,             0.75159,             0.49215,            0.030251,           0.0085052,           0.0085463,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031687,            0.019937,            0.008782,             0.74951,             0.70356,             0.76503,             0.49858,            0.030466,           0.0084239,           0.0099646,           0.0084358,           0.0084358,           0.0084358
                  81,            0.032058,            0.020087,            0.008295,             0.76933,             0.72625,             0.76083,             0.51683,            0.030431,           0.0086891,           0.0083066,            0.008416,            0.008416,            0.008416
                  82,            0.031587,            0.020165,           0.0079062,             0.73552,             0.77632,             0.78431,             0.51469,            0.030162,            0.008696,           0.0072624,           0.0083962,           0.0083962,           0.0083962
                  83,            0.031305,            0.019692,           0.0080837,             0.79862,             0.74519,             0.79159,             0.53107,            0.028485,           0.0080322,            0.008395,           0.0083764,           0.0083764,           0.0083764
                  84,            0.031463,            0.019963,           0.0082121,             0.77874,             0.75599,             0.79999,             0.52312,            0.030889,           0.0082074,           0.0074631,           0.0083566,           0.0083566,           0.0083566
                  85,            0.031307,             0.01976,             0.00793,             0.72862,              0.7211,             0.76286,             0.51678,            0.029595,           0.0084789,             0.00782,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032022,            0.019797,           0.0079827,             0.74241,             0.69921,             0.75107,             0.48741,            0.030467,           0.0084581,           0.0070317,            0.008317,            0.008317,            0.008317
                  87,            0.031217,            0.019518,           0.0077242,             0.82406,             0.68136,             0.77819,             0.51755,            0.028965,           0.0083195,            0.006698,           0.0082972,           0.0082972,           0.0082972
                  88,            0.030793,            0.019574,           0.0072432,             0.74785,             0.69474,             0.76627,             0.52828,             0.02906,           0.0085513,           0.0090671,           0.0082774,           0.0082774,           0.0082774
                  89,            0.031005,            0.019462,           0.0074197,             0.78057,             0.72966,             0.78324,             0.52633,            0.029779,           0.0083946,           0.0093265,           0.0082576,           0.0082576,           0.0082576
                  90,            0.031092,             0.01888,           0.0076626,             0.79315,             0.68501,             0.75052,             0.50853,            0.028925,           0.0083688,            0.008819,           0.0082378,           0.0082378,           0.0082378
                  91,            0.031168,            0.019379,           0.0071887,             0.79676,             0.72511,             0.80041,             0.53788,            0.029023,           0.0083946,           0.0061407,            0.008218,            0.008218,            0.008218
