               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0889,            0.035071,             0.07936,                0.25,             0.16365,            0.049495,            0.019487,            0.054229,            0.019854,            0.065641,            0.070882,           0.0032353,           0.0032353
                   1,            0.054284,            0.027301,            0.061778,             0.27776,             0.14779,            0.063983,            0.026064,            0.056078,            0.011604,            0.053107,            0.040869,           0.0065556,           0.0065556
                   2,            0.051917,            0.024991,            0.047848,             0.64661,              0.2385,             0.16788,             0.08135,            0.048577,            0.013523,            0.036773,            0.010843,           0.0098627,           0.0098627
                   3,            0.049476,            0.023479,            0.034986,             0.65303,             0.26982,             0.20748,            0.081037,            0.055536,            0.011847,            0.031966,           0.0099406,           0.0099406,           0.0099406
                   4,             0.04535,            0.022671,            0.028387,             0.40669,              0.4419,             0.39155,             0.20374,            0.047373,           0.0097234,            0.023144,           0.0099406,           0.0099406,           0.0099406
                   5,            0.044353,            0.022415,            0.023734,             0.44806,             0.38322,             0.31309,             0.16735,            0.044054,            0.011182,            0.035118,           0.0099208,           0.0099208,           0.0099208
                   6,            0.043474,              0.0223,            0.021022,             0.45655,             0.46147,             0.35257,              0.1764,            0.042128,            0.010138,            0.022994,            0.009901,            0.009901,            0.009901
                   7,            0.041665,            0.021877,            0.017509,             0.50464,             0.45893,             0.43671,             0.19385,            0.042278,           0.0097281,            0.025491,           0.0098812,           0.0098812,           0.0098812
                   8,            0.040264,            0.021673,            0.016358,             0.68518,             0.55227,              0.6189,             0.37265,            0.034418,           0.0089616,            0.017826,           0.0098614,           0.0098614,           0.0098614
                   9,             0.03923,            0.021621,            0.016023,             0.62278,             0.57391,             0.59718,             0.32195,            0.038331,           0.0091417,             0.01431,           0.0098416,           0.0098416,           0.0098416
                  10,            0.038841,            0.021504,            0.013676,             0.62481,             0.58255,             0.58183,              0.3109,            0.036999,            0.009235,            0.012982,           0.0098218,           0.0098218,           0.0098218
                  11,            0.038418,             0.02168,            0.012548,              0.4508,             0.53651,              0.5069,             0.28277,            0.033839,           0.0096555,            0.020508,            0.009802,            0.009802,            0.009802
                  12,             0.03732,            0.021091,            0.013556,             0.54829,             0.35762,             0.39332,             0.19536,             0.04068,            0.011106,            0.029751,           0.0097822,           0.0097822,           0.0097822
                  13,            0.036674,            0.021269,            0.013385,              0.5764,             0.57897,             0.57753,             0.31181,            0.035047,            0.010401,            0.015763,           0.0097624,           0.0097624,           0.0097624
                  14,            0.036552,            0.021547,            0.012336,             0.49443,             0.47054,             0.47693,              0.2779,            0.032591,            0.010303,            0.023514,           0.0097426,           0.0097426,           0.0097426
                  15,            0.035758,            0.021408,            0.012276,             0.64294,             0.63888,              0.6779,             0.38624,            0.033465,           0.0089915,            0.011462,           0.0097228,           0.0097228,           0.0097228
                  16,            0.035815,            0.020769,            0.011563,             0.65542,             0.62487,             0.63773,             0.39553,            0.033523,           0.0091697,            0.012221,            0.009703,            0.009703,            0.009703
                  17,            0.036453,             0.02113,            0.010722,             0.59464,             0.69506,             0.69263,             0.40856,            0.032565,           0.0090288,           0.0087409,           0.0096832,           0.0096832,           0.0096832
                  18,             0.03527,            0.020911,           0.0098234,              0.7148,             0.67992,             0.72158,              0.4256,            0.033865,           0.0086899,            0.011848,           0.0096634,           0.0096634,           0.0096634
                  19,            0.035301,            0.020073,           0.0095205,             0.68585,              0.7084,             0.73219,             0.42047,            0.036152,           0.0086467,           0.0082539,           0.0096436,           0.0096436,           0.0096436
                  20,            0.035094,            0.020914,           0.0092423,             0.69951,              0.6916,             0.71677,             0.41412,            0.033076,           0.0086936,            0.010166,           0.0096238,           0.0096238,           0.0096238
                  21,              0.0345,            0.020138,           0.0090007,             0.69429,              0.7059,              0.7329,             0.44803,            0.031112,           0.0085645,           0.0093588,            0.009604,            0.009604,            0.009604
                  22,            0.034117,            0.020503,           0.0087728,             0.68178,             0.68705,             0.69081,             0.42559,            0.030378,           0.0088934,            0.012343,           0.0095842,           0.0095842,           0.0095842
                  23,            0.034259,            0.020098,           0.0091905,             0.74386,             0.69174,             0.76139,             0.45431,            0.031304,           0.0083882,            0.014286,           0.0095644,           0.0095644,           0.0095644
                  24,            0.034293,            0.020024,           0.0083327,             0.63865,             0.64077,             0.67541,             0.41836,            0.030427,           0.0092415,            0.014303,           0.0095446,           0.0095446,           0.0095446
                  25,            0.033869,            0.019996,           0.0088031,             0.74726,             0.62295,             0.71271,             0.44697,            0.033659,           0.0084952,           0.0093375,           0.0095248,           0.0095248,           0.0095248
                  26,             0.03366,            0.020351,           0.0084494,             0.72112,             0.69722,             0.72463,             0.45656,            0.032076,           0.0086102,            0.010615,            0.009505,            0.009505,            0.009505
                  27,            0.033116,            0.020081,           0.0077133,             0.73705,             0.69298,             0.73724,             0.46788,            0.031057,           0.0091811,           0.0097017,           0.0094852,           0.0094852,           0.0094852
                  28,            0.033692,            0.019512,           0.0078037,             0.76721,             0.72192,             0.75665,             0.45384,            0.030746,           0.0091369,           0.0073546,           0.0094654,           0.0094654,           0.0094654
                  29,            0.032665,            0.020009,           0.0084186,             0.65124,             0.60373,             0.62951,             0.39071,            0.031448,           0.0091801,            0.011333,           0.0094456,           0.0094456,           0.0094456
                  30,            0.032898,             0.01941,           0.0076591,             0.72753,             0.68349,             0.73715,             0.45391,            0.031223,           0.0089762,           0.0076811,           0.0094258,           0.0094258,           0.0094258
