               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0889,            0.035071,             0.07936,                0.25,             0.16365,            0.049495,            0.019487,            0.054229,            0.019854,            0.065641,            0.070882,           0.0032353,           0.0032353
                   1,            0.054284,            0.027301,            0.061778,             0.27776,             0.14779,            0.063983,            0.026064,            0.056078,            0.011604,            0.053107,            0.040869,           0.0065556,           0.0065556
                   2,            0.051917,            0.024991,            0.047848,             0.64661,              0.2385,             0.16788,             0.08135,            0.048577,            0.013523,            0.036773,            0.010843,           0.0098627,           0.0098627
                   3,            0.049476,            0.023479,            0.034986,             0.65303,             0.26982,             0.20748,            0.081037,            0.055536,            0.011847,            0.031966,           0.0099406,           0.0099406,           0.0099406
                   4,             0.04535,            0.022671,            0.028387,             0.40669,              0.4419,             0.39155,             0.20374,            0.047373,           0.0097234,            0.023144,           0.0099406,           0.0099406,           0.0099406
                   5,            0.044353,            0.022415,            0.023734,             0.44806,             0.38322,             0.31309,             0.16735,            0.044054,            0.011182,            0.035118,           0.0099208,           0.0099208,           0.0099208
                   6,            0.043474,              0.0223,            0.021022,             0.45655,             0.46147,             0.35257,              0.1764,            0.042128,            0.010138,            0.022994,            0.009901,            0.009901,            0.009901
                   7,            0.041665,            0.021877,            0.017509,             0.50464,             0.45893,             0.43671,             0.19385,            0.042278,           0.0097281,            0.025491,           0.0098812,           0.0098812,           0.0098812
                   8,            0.040264,            0.021673,            0.016358,             0.68518,             0.55227,              0.6189,             0.37265,            0.034418,           0.0089616,            0.017826,           0.0098614,           0.0098614,           0.0098614
                   9,             0.03923,            0.021621,            0.016023,             0.62278,             0.57391,             0.59718,             0.32195,            0.038331,           0.0091417,             0.01431,           0.0098416,           0.0098416,           0.0098416
                  10,            0.038841,            0.021504,            0.013676,             0.62481,             0.58255,             0.58183,              0.3109,            0.036999,            0.009235,            0.012982,           0.0098218,           0.0098218,           0.0098218
                  11,            0.038418,             0.02168,            0.012548,              0.4508,             0.53651,              0.5069,             0.28277,            0.033839,           0.0096555,            0.020508,            0.009802,            0.009802,            0.009802
                  12,             0.03732,            0.021091,            0.013556,             0.54829,             0.35762,             0.39332,             0.19536,             0.04068,            0.011106,            0.029751,           0.0097822,           0.0097822,           0.0097822
                  13,            0.036674,            0.021269,            0.013385,              0.5764,             0.57897,             0.57753,             0.31181,            0.035047,            0.010401,            0.015763,           0.0097624,           0.0097624,           0.0097624
                  14,            0.036552,            0.021547,            0.012336,             0.49443,             0.47054,             0.47693,              0.2779,            0.032591,            0.010303,            0.023514,           0.0097426,           0.0097426,           0.0097426
                  15,            0.035758,            0.021408,            0.012276,             0.64294,             0.63888,              0.6779,             0.38624,            0.033465,           0.0089915,            0.011462,           0.0097228,           0.0097228,           0.0097228
                  16,            0.035815,            0.020769,            0.011563,             0.65542,             0.62487,             0.63773,             0.39553,            0.033523,           0.0091697,            0.012221,            0.009703,            0.009703,            0.009703
                  17,            0.036453,             0.02113,            0.010722,             0.59464,             0.69506,             0.69263,             0.40856,            0.032565,           0.0090288,           0.0087409,           0.0096832,           0.0096832,           0.0096832
